dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8208716927634965,0.09005495199554542,0.1092122346162796
ETTm,amazon/chronos-t5-small,0.9355044750441647,0.07896225876424692,0.1899413913488388
dominick,amazon/chronos-t5-small,0.9841075502483244,0.37641855141448705,0.08526535332202911
ercot,amazon/chronos-t5-small,0.561582155865031,0.022444155554740428,0.2942708432674408
exchange_rate,amazon/chronos-t5-small,2.118003982984617,0.015141331427485635,0.33281248807907104
m4_quarterly,amazon/chronos-t5-small,1.475554995585114,0.10216832386056482,0.10581148415803909
m4_yearly,amazon/chronos-t5-small,4.22524822113651,0.16396313678851757,0.09663434326648712
monash_australian_electricity,amazon/chronos-t5-small,1.1433089008201216,0.07708937382418292,0.3897460699081421
monash_car_parts,amazon/chronos-t5-small,1.0272467137501078,1.192602515092859,0.09980246424674988
monash_cif_2016,amazon/chronos-t5-small,1.1032928551107049,0.015378203460230992,0.07233797013759613
monash_covid_deaths,amazon/chronos-t5-small,47.78682068889468,0.11265909909653857,0.22896206378936768
monash_fred_md,amazon/chronos-t5-small,0.6125969452270128,0.04552771341331398,0.22033806145191193
monash_hospital,amazon/chronos-t5-small,0.8585201761851937,0.06547635255366188,0.05664147064089775
monash_m1_monthly,amazon/chronos-t5-small,1.3195458075382158,0.14732802377049886,0.08400160819292068
monash_m1_quarterly,amazon/chronos-t5-small,2.0094164662129987,0.1076089740864415,0.10448738187551498
monash_m1_yearly,amazon/chronos-t5-small,5.101374933994422,0.17411179585124362,0.06689543277025223
monash_m3_monthly,amazon/chronos-t5-small,1.0331541279122776,0.1184136088237308,0.11395417898893356
monash_m3_quarterly,amazon/chronos-t5-small,1.527011076215228,0.09847023316202694,0.09946340322494507
monash_m3_yearly,amazon/chronos-t5-small,3.767171495428248,0.19974128135294614,0.0799095630645752
monash_nn5_weekly,amazon/chronos-t5-small,0.9719158747054507,0.0927311823612128,0.05543532222509384
monash_tourism_monthly,amazon/chronos-t5-small,2.048366914317313,0.12406984416278267,0.05921722576022148
monash_tourism_quarterly,amazon/chronos-t5-small,1.8997094152749416,0.08071645588472585,0.062120355665683746
monash_tourism_yearly,amazon/chronos-t5-small,4.122268500428616,0.19506523025679245,0.07212988287210464
monash_traffic,amazon/chronos-t5-small,0.8590249145088704,0.2734191313845159,0.12446338683366776
monash_weather,amazon/chronos-t5-small,0.9576601675804888,0.16660333239468292,0.0744447261095047
nn5,amazon/chronos-t5-small,0.6466795323433832,0.1812892507153966,0.050981082022190094
